_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2781,165651381,17203460,0,2017-10-21T02:15:00,"Vinecliffe St Pittsburgh, PA 15211",Y,Mount Washington,3,99,627.02(b)(i) Possessing a small amount of marijuana,1914,,,0,0
1335,165651565,17203479,21,2017-10-21T02:42:00,"Penn Ave & Foster Way Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3802(a)(1) DUI - General Impairment / 3112 Traffic-Control Signals. / 3736 Reckless Driving,603,7,2,-79.96089624,40.46469401
2129,165651807,17203487,0,2017-10-21T02:55:00,"800 Block Lorenz Ave Pittsburgh, PA 15220",N,Elliott,6,99,8106 Shots Fired,2020,2,5,-80.04068896,40.4440066
633,165661510,17203655,9,2017-10-21T03:00:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,FORGERY,4101 Forgery.,2304,1,1,-80.00084389,40.45089272
2037,165652785,17203496,0,2017-10-21T03:00:00,"4900 Block Baum Blvd Pittsburgh, PA 15213",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): Unknown white powder on $20 bill,804,7,2,-79.94651873,40.45430778
2806,165653882,17203498,23,2017-10-21T03:07:00,"300 Block Arabella St Pittsburgh, PA 15210",Y,Knoxville,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct.,3001,3,4,-79.99306681,40.4121654
1323,165694569,17203497,23,2017-10-21T03:30:00,"90 Block S 15th St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,4,-79.98364425,40.4282332
2810,165666811,17203816,5,2017-10-21T03:30:00,"1000 Block Lakewood St Pittsburgh, PA 15220",N,Elliott,6,BURGLARY,3502 Burglary.,2020,2,5,-80.03894415,40.44511665
2111,165654958,17203511,4,2017-10-21T03:56:00,"S 10th St & Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,AGG-ASSAULT,2702 Aggravated Assault.,1702,3,4,-79.98860916,40.42941436
1211,165703098,17204744,17,2017-10-21T05:00:00,Zone 3,N,,3,INDECENT ASSAULT OF UNCONSCIOUS PERSON,3126(a)(4) Indecent assault of unconscious person,,,,,
491,165658530,17203578,6,2017-10-21T05:10:00,"1100 Block Queensbury St Pittsburgh, PA 15205",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle,2811,2,5,-80.04826264,40.43636826
2826,165654529,17203539,99,2017-10-21T05:17:00,"1900 Block Clayton Ave Pittsburgh, PA 15214",N,Perry South,1,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,2614,6,1,-80.01041272,40.46176709
1365,165656971,17203545,14,2017-10-21T05:33:00,"200 Block East Ohio St Pittsburgh, PA 15212",N,Allegheny Center,1,CRIM MISCHIEF,3304 Criminal Mischief.,2204,1,1,-80.00366043,40.45302239
1984,-2735000432,17203596,0,2017-10-21T06:00:00,"800 Block Eureka St Pittsburgh, PA 15210",N,Allentown,3,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1803,3,4,-79.99369305,40.42362201
454,165655830,17203562,0,2017-10-21T06:30:00,"600 Block Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,99,901 Criminal Attempt,1504,5,3,-79.93493858,40.40482294
2961,165663886,17203749,6,2017-10-21T06:30:00,"1600 Block Hethlon St Pittsburgh, PA 15205",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle,2811,2,5,-80.04576224,40.43527115
455,165656801,17203565,10,2017-10-21T07:01:00,"600 Block Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709(a) Harassment.,1702,3,4,-79.99341619,40.42921389
2737,165656961,17203569,27,2017-10-21T07:31:00,"600 Block 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,6,6,-79.99630099,40.43469659
432,165658293,17203570,99,2017-10-21T07:45:00,"6700 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood West,5,MENTAL 201/302,9498 302 (Mental),1207,9,2,-79.90800266,40.45860843
433,165658493,17203587,27,2017-10-21T08:00:00,"300 Block Stratmore St Pittsburgh, PA 15205",N,Crafton Heights,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2815,2,5,-80.05600425,40.43991994
492,165661044,17203617,6,2017-10-21T08:30:00,"5000 Block Castleman St Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,709,8,2,-79.94258093,40.44894813
2896,165662676,17203687,17,2017-10-21T08:30:00,Zone 2,N,,2,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
1954,165661121,17203581,6,2017-10-21T08:36:00,"3800 Block Bigelow Blvd Pittsburgh, PA 15213",N,Upper Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,506,6,3,-79.95511098,40.45687624
1987,-2861001009,17203621,27,2017-10-21T09:00:00,"Friendship Ave & S Mathilda St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,809,7,2,-79.94682672,40.46278684
373,165660677,17203592,99,2017-10-21T09:05:00,"100 Block East Commons Pittsburgh, PA 15212",Y,Allegheny Center,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2204,1,1,-80.00518908,40.45100345
2257,-2769000212,17203987,99,2017-10-21T09:15:00,"3900 Block Portman Ave Pittsburgh, PA 15214",N,Perry North,1,AIDED CASE,9497 Aided Case,2602,1,1,-80.02231332,40.48932216
2807,165661648,17203654,14,2017-10-21T09:30:00,"3200 Block Middletown Rd Pittsburgh, PA 15204",Y,Sheraden,6,CRIM MISCHIEF,3304 Criminal Mischief.,2022,2,5,-80.06674078,40.45095029
1288,165658579,17203610,27,2017-10-21T10:00:00,"1800 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,305,6,3,-79.98289274,40.44191944
1322,165672302,17204052,14,2017-10-21T10:00:00,"1800 Block Bentley Dr Pittsburgh, PA 15219",Y,Terrace Village,2,CRIM MISCHIEF,3304 Criminal Mischief.,511,6,3,-79.97410769,40.44084715
2599,166566782,17204052,14,2017-10-21T10:00:00,"1800 Block Bentley Dr Pittsburgh, PA 15219",Y,Terrace Village,2,CRIM MISCHIEF,3304 Criminal Mischief.,511,6,3,-79.97410769,40.44084715
2809,165666507,17203783,6,2017-10-21T10:00:00,"1000 Block Lakewood St Pittsburgh, PA 15220",N,Elliott,6,THEFT FROM AUTO,3934 Theft from Vehicle,2020,2,5,-80.03894415,40.44511665
1377,165666980,17203808,0,2017-10-21T10:01:00,"2900 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): Crash,1918,4,4,-80.02715906,40.39439834
2022,165661104,17203605,17,2017-10-21T10:05:00,"6800 Block Simonton St Pittsburgh, PA 15208",Y,Point Breeze North,4,OPEN LEWDNESS,5901 Open Lewdness.,1405,9,2,-79.90767086,40.45535912
2008,165660824,17203600,0,2017-10-21T10:30:00,"1100 Block Sheffield St Pittsburgh, PA 15233",N,Manchester,1,99,9999 9999 - (Misc. Incident): ,2107,6,1,-80.02126185,40.45420401
2908,165744830,17205040,27,2017-10-21T10:30:00,"500 Block Larose St Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1917,6,6,-79.99551113,40.43902294
2009,165661228,17203622,99,2017-10-21T10:50:00,"Reed St & Devilliers St Pittsburgh, PA 15219",N,Bluff,2,AIDED CASE,9497 Aided Case,103,6,3,-79.97899606,40.44159154
1366,165661574,17203637,10,2017-10-21T11:00:00,"4600 Block Truro Pl Pittsburgh, PA 15213",Y,North Oakland,4,SIMPLE ASSAULT,2701 Simple Assault.,507,6,3,-79.95230246,40.45235732
1986,-2735000449,17203635,27,2017-10-21T11:00:00,"200 Block Ulysses St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1903,2,5,-80.01278085,40.4326495
1400,165661393,17203642,0,2017-10-21T11:13:00,"4200 Block Geneva St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,902,7,2,-79.95571956,40.46701002
493,-2735000467,17203656,27,2017-10-21T11:20:00,"Bingham St & Bedford Sq Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,4,-79.98621187,40.42942371
2038,165661097,17203650,9,2017-10-21T11:20:00,"1300 Block Pointview St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,FORGERY,4101 Forgery. / 4106 Access Device Fraud,1203,9,2,-79.89848825,40.46660975
1426,165666340,17203805,5,2017-10-21T11:30:00,"Greeley St Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary.,1608,3,4,-79.97433511,40.42453344
694,165661388,17203659,0,2017-10-21T11:33:00,"Centre Ave & Erin St Pittsburgh, PA 15219",N,Middle Hill,2,99,9998 Overdose Other,501,6,3,-79.97889929,40.4443426
1367,165662804,17203663,99,2017-10-21T11:38:00,"100 Block Charles St Pittsburgh, PA 15210",N,Knoxville,3,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,3001,3,4,-79.98815784,40.41659309
374,165663206,17203677,10,2017-10-21T11:58:00,"1500 Block Eckert St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows",2715,1,1,-80.03374978,40.47143042
1519,165885787,17206291,99,2017-10-21T12:00:00,"800 Block N Highland Ave Pittsburgh, PA 15206",N,Highland Park,5,LOST PROPERTY,9504 Lost Property,1106,7,2,-79.92071839,40.46975551
2702,165662603,17203678,9,2017-10-21T12:01:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,FORGERY,4101 Forgery.,1201,9,2,-79.89431722,40.48808181
2130,165662223,17203694,99,2017-10-21T12:30:00,"Delmont Ave & Amesbury St Pittsburgh, PA 15210",N,Beltzhoover,3,FOUND PROPERTY,9489 Found Property,1809,4,4,-80.00383726,40.41408176
2909,165749039,17205058,10,2017-10-21T12:50:00,"2900 Block Stayton St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,2715,1,1,-80.02748158,40.4713525
1336,-2752024729,17203707,4,2017-10-21T13:00:00,"2000 Block Hemans St Pittsburgh, PA 15219",N,South Oakland,2,AGG-ASSAULT,2702 Aggravated Assault.,409,6,3,-79.97819881,40.44408759
1401,165666240,17203817,14,2017-10-21T13:00:00,"300 Block Bigelow St Pittsburgh, PA 15207",Y,Hazelwood,4,CRIM MISCHIEF,3304 Criminal Mischief.,1501,5,3,-79.9442866,40.42035674
2808,165662873,17203714,6,2017-10-21T13:18:00,"Columbus Ave & Fulton St Pittsburgh, PA 15233",N,Manchester,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2107,6,1,-80.02594671,40.45798577
469,165665472,17203776,27,2017-10-21T14:00:00,"45th St & Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,901,7,2,-79.95929166,40.47214807
838,165916278,17204488,6,2017-10-21T14:00:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.99793652,40.44288811
1209,165682711,17203738,10,2017-10-21T14:00:00,"800 Block Crucible St Pittsburgh, PA 15220",N,Elliott,6,HARRASSMENT,2709(a) Harassment.,2020,2,5,-80.03978718,40.4419871
1230,165666453,17203766,10,2017-10-21T14:10:00,"3800 Block Bigelow Blvd Pittsburgh, PA 15213",N,Upper Hill,2,SIMPLE ASSAULT,2701 Simple Assault.,506,6,3,-79.95511098,40.45687624
418,165663872,17203725,0,2017-10-21T14:20:00,"700 Block Mayville Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,1917,4,4,-80.01193306,40.40144568
1229,165663981,17203744,0,2017-10-21T14:21:00,"10 Block Bailey Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1807,3,4,-80.00480319,40.42706114
386,165666544,17203764,27,2017-10-21T14:40:00,"P.J. Mcardle Rdwy & Liberty Brg Pittsburgh, PA 15203",N,South Shore,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1921,3,4,-79.99926773,40.42914694
2797,165664034,17203756,27,2017-10-21T14:40:00,"300 Block Corliss St Pittsburgh, PA 15204",N,Sheraden,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2018,2,5,-80.04211396,40.4515108
456,165665294,17203762,0,2017-10-21T15:00:00,"400 Block Saline St Pittsburgh, PA 15207",Y,Greenfield,4,99,9093 Indirect Criminal Contempt,1516,5,3,-79.94678118,40.42746031
2902,165736979,17204987,6,2017-10-21T15:00:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2304,1,1,-79.99867635,40.45221085
2703,165664932,17203770,10,2017-10-21T15:15:00,"300 Block Lawn St Pittsburgh, PA 15213",N,South Oakland,4,HARRASSMENT,2709(a) Harassment.,409,6,3,-79.96360688,40.43448213
1988,165667879,17203778,6,2017-10-21T15:27:00,"400 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-80.00153324,40.45347051
2710,165669918,17203813,6,2017-10-21T15:43:00,"2000 Block Josephine St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1706,3,4,-79.97843187,40.42488267
1628,165956468,17207012,10,2017-10-21T16:00:00,"700 Block Arch St Pittsburgh, PA 15212",N,Allegheny Center,1,HARRASSMENT,2709 Harassment (Non-Specific),2204,1,1,-80.00869663,40.45211072
2943,-2917014914,17203807,10,2017-10-21T16:15:00,"3300 Block Savoy St Pittsburgh, PA 15212",Y,Brighton Heights,1,HARRASSMENT,2709 Harassment (Non-Specific),2703,1,1,-80.03704566,40.47544564
2884,165666632,17203830,99,2017-10-21T16:38:00,"S Bouquet St & Joncaire St Pittsburgh, PA 15213",Y,Central Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,405,3,3,-79.95372245,40.44044307
2962,165666327,17184242,10,2017-10-21T16:43:00,"Lemington Ave & Lincoln Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 9501 Bench Warrant",1203,9,2,-79.8960471,40.46874903
2828,165668699,17203839,27,2017-10-21T16:50:00,"Glenwood Brg Ramp & Pa Rt 837 Pittsburgh, PA 15207",N,Hays,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3101,,,0,0
1402,165666617,17203843,0,2017-10-21T17:03:00,"2000 Block Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,99,9998 Overdose Other,501,6,3,-79.9799791,40.44358094
2611,-3056000267,17206324,27,2017-10-21T17:15:00,"200 Block Oakville Dr Pittsburgh, PA 15220",N,Banksville,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2023,2,5,-80.03955807,40.41898699
1427,165666834,17203852,0,2017-10-21T17:21:00,"1500 Block Obey Ave Pittsburgh, PA 15205",N,Crafton Heights,6,99,9999 9999 - (Misc. Incident): Property Dispute,2815,2,5,-80.05072974,40.44017929
2945,-2977012318,17203868,14,2017-10-21T17:30:00,"2900 Block Mary St Pittsburgh, PA 15203",N,South Side Slopes,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1608,3,4,-79.96655883,40.42333406
2885,165666993,17203862,6,2017-10-21T17:33:00,"3600 Block California Ave Pittsburgh, PA 15212",N,Brighton Heights,1,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",2701,1,1,-80.04085736,40.48041277
2944,165666961,17203867,0,2017-10-21T17:40:00,"10 Block Sylvan Ave Pittsburgh, PA 15207",N,Greenfield,4,99,9999 9999 - (Misc. Incident): sick/injured animal,1516,5,3,-79.95025406,40.42535695
1210,165699821,17204717,11,2017-10-21T17:45:00,"600 Block Linda Dr Pittsburgh, PA 15226",N,Brookline,6,IDENTITY THEFT,4120 Identity Theft,1917,4,4,-80.01012961,40.40956447
1293,165688922,17204351,6,2017-10-21T18:00:00,"100 Block S Graham St Pittsburgh, PA 15206",N,Bloomfield,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,809,9,2,-79.93485636,40.46474622
2829,165669338,17203920,29,2017-10-21T18:30:00,"6200 Block Huntress St Pittsburgh, PA 15206",Y,East Liberty,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1113,9,2,-79.91850249,40.46728245
3195,165838002,17205923,99,2017-10-21T18:30:00,"5800 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,DRUG INVESTIGATION,9124 Drug Investigation,1403,8,3,-79.92328792,40.44137231
2827,165667935,17203906,10,2017-10-21T18:33:00,"4600 Block Monongahela St Pittsburgh, PA 15207",Y,Hazelwood,4,SIMPLE ASSAULT,2701 Simple Assault.,1501,5,3,-79.9445919,40.41496038
2868,165667871,17203907,14,2017-10-21T18:36:00,"2100 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,509,6,3,-79.98071614,40.44704518
1378,165668466,17203944,18,2017-10-21T18:46:00,"S 26th St & Carey Way Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 7512 Criminal Use of Communication,1609,3,4,-79.96859928,40.42700983
1321,165667991,17203918,27,2017-10-21T18:50:00,"S Braddock Ave & Forbes Ave Pittsburgh, PA 15221",N,Point Breeze,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1406,9,3,-79.89764187,40.43966128
2258,-2977012334,17203914,99,2017-10-21T18:51:00,"300 Block Becks Run Rd Pittsburgh, PA 15210",N,Homewood South,3,INDUSTRIAL ACCIDENT,9491 Industrial Accident,1303,4,4,-79.97994038,40.39341804
773,166248791,17210757,27,2017-10-21T19:00:00,"1400 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,4,-79.98403098,40.42864859
1969,165897414,17206362,0,2017-10-21T19:00:00,"Liberty Tunl Pittsburgh, PA 15211",N,Beltzhoover,3,99,9999 9999 - (Misc. Incident): Suspicious Activity,1809,,,0,0
1582,165771505,17203925,10,2017-10-21T19:04:00,"1800 Block Kleber St Pittsburgh, PA 15212",Y,Brighton Heights,1,SIMPLE ASSAULT,2701 Simple Assault.,2701,1,1,-80.03923361,40.48552347
2811,165668428,17203925,10,2017-10-21T19:04:00,"1800 Block Kleber St Pittsburgh, PA 15212",Y,Brighton Heights,1,SIMPLE ASSAULT,2701 Simple Assault.,2701,1,1,-80.03923361,40.48552347
910,165907828,17203937,10,2017-10-21T19:22:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault.,1702,3,4,-79.98186901,40.4285852
2711,165670606,17203949,14,2017-10-21T19:49:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 601.16 Public Urination And Defecation / 601.10 (a) Spitting,2904,4,4,-79.98114783,40.38668454
2812,165669151,17203951,16,2017-10-21T19:53:00,"Southern Ave & Sandwich St Pittsburgh, PA 15211",Y,Mount Washington,3,PROSTITUTION,5902(a)(1) Prostitution  / 9501 Bench Warrant,1914,2,5,-80.00964615,40.42515646
1484,165669604,17203959,18,2017-10-21T20:09:00,"1800 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,1702,3,4,-79.9802658,40.42847887
2784,165669193,17203939,18,2017-10-21T20:20:00,"Frankstown Ave & Finley St Pittsburgh, PA 15206",Y,Larimer,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 6308 Investigation by Police Officers / 4303 General Lighting Requirements. / 5101 Obstructing Admin. of Law  / 9501 Bench Warrant / 1511 Carrying and Exhibiting Driver's License on Demand. / 4524 Windshield Obstructions and Wipers. / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1501(A) Valid Driver's License Required / 1311 Registration Card to be Signed and Exhibited on Demand.,1208,9,2,-79.90991461,40.45914267
2090,165671810,17203967,15,2017-10-21T20:21:00,"7400 Block Penn Ave Pittsburgh, PA 15208",Y,Point Breeze North,4,ALTERING/OBLITERATING MARKS OF IDENTIFICATION,6117 Altering or Obliterating Marks of Identification. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1405,9,3,-79.8982055,40.44809391
2131,165676827,17204073,6,2017-10-21T20:30:00,"7000 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1303,9,2,-79.90140945,40.45730673
2925,165669483,17203975,16,2017-10-21T20:34:00,"600 Block Commonwealth Pl Pittsburgh, PA 15222",Y,Central Business District,2,PROSTITUTION,5902(a)(1) Prostitution  / 907 Possessing Instruments of Crime. / 903 Criminal Conspiracy.,201,6,6,-80.0064055,40.44173292
2112,165669327,17203978,5,2017-10-21T20:42:00,"800 Block Clarissa St Pittsburgh, PA 15219",N,Upper Hill,2,BURGLARY,3502 Burglary.,506,6,3,-79.95978474,40.45296921
419,165670634,17203989,4,2017-10-21T21:07:00,"2100 Block Watson St Pittsburgh, PA 15219",N,Bluff,2,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief. / 5511 Cruelty to Animals.,103,6,3,-79.97588296,40.43764793
1231,165673929,17203990,27,2017-10-21T21:09:00,"W Sycamore St & Maple Ter Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1914,2,5,-80.00878291,40.43148891
1403,165672112,17204013,23,2017-10-21T21:29:00,"1500 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,4,-79.98330671,40.42868483
1109,166420948,17208131,6,2017-10-21T21:36:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 13(a)(16) Possession of Controlled Substance,201,6,6,-79.99630099,40.43469659
2854,166043303,17208131,6,2017-10-21T21:36:00,"2700 Block S Water St Pittsburgh, PA 15203",Y,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,3,4,-79.96325261,40.42745662
388,165670866,17204005,11,2017-10-21T21:48:00,"2100 Block Rhine St Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",2620,1,1,-79.99367687,40.46661676
1005,165805834,17203339,6,2017-10-21T21:53:00,"1000 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1201,9,2,-79.88714732,40.48686889
2273,165689214,17204366,14,2017-10-21T22:00:00,"300 Block Morton St Pittsburgh, PA 15234",N,Overbrook,3,CRIM MISCHIEF,3304 Criminal Mischief.,3207,4,4,-80.00010829,40.38391805
2704,165676996,17204033,18,2017-10-21T22:18:00,"3600 Block Perrysville Ave Pittsburgh, PA 15214",Y,Perry North,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,2607,1,1,-80.01468901,40.48459237
1956,-2928011991,17204107,27,2017-10-21T22:50:00,"North Point Dr & Lighthill St Pittsburgh, PA 15233",N,Chateau,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2108,6,1,-80.02400247,40.44862001
1989,165677627,17204079,6,2017-10-21T23:00:00,"Rhine St & Buente St Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2620,1,1,-79.99313978,40.46625581
2159,-2652028310,17204059,0,2017-10-21T23:15:00,"600 Block Greentree Rd Pittsburgh, PA 15220",N,Ridgemont,6,99,3503(a) Criminal Trespass,2016,2,5,-80.03914292,40.43240838
1393,165674625,17204064,18,2017-10-21T23:31:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",Y,Homewood North,5,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance,1302,9,2,-79.89629786,40.45739668
1243,165676761,17204067,0,2017-10-21T23:35:00,"3800 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): Loud music complaint,2701,1,1,-80.03569278,40.48455007
2705,165679834,17204128,3,2017-10-21T23:44:00,"S 18th St & Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY,3701 Robbery. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1702,3,4,-79.98037809,40.43056069
420,165677018,17204087,10,2017-10-21T23:56:00,"S 15th St & Roland St Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault.,1702,3,4,-79.98343519,40.42855549
1437,165944615,17206928,11,2017-10-21T23:59:00,"500 Block Seagirt St Pittsburgh, PA 15221",N,East Hills,5,CREDIT CARDS,4106 Access Device Fraud,1306,9,2,-79.87851655,40.44992728
1885,166617483,17215236,6,2017-10-22T00:00:00,"2000 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1702,3,4,-79.97759638,40.42754186
335,165678039,17204083,9,2017-10-22T00:01:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,FORGERY,4101 Forgery.,2304,1,1,-80.00084389,40.45089272
